2024 Staffing Retention Rates,,,,,,,,,,
District Name,District Code,Superintendent Total,Superintendent # Retained,Superintendent % Retained,Principal Total,Principal # Retained,Principal % Retained,Teacher Total,Teacher # Retained,Teacher % Retained
Lincoln,01570000,1.0,0.0,0.0,       5,       3,60.0,     126,     105,83.3
Lincoln-Sudbury,06950000,1.0,0.0,0.0,       1,       0,0.0,     142,     130,91.5
Littleton,01580000,1.0,1.0,100.0,       4,       4,100.0,     131,     108,82.4
Longmeadow,01590000,1.0,1.0,100.0,       6,       6,100.0,     250,     230,92.0
Lowell,01600000,1.0,0.0,0.0,      31,      26,83.9,"   1,188","   1,030",86.7
Lowell Community Charter Public (District),04560000,1.0,1.0,100.0,       2,       2,100.0,      64,      54,84.4
Lowell Middlesex Academy Charter (District),04580000,1.0,1.0,100.0,       1,       1,100.0,       6,       4,66.7
Ludlow,01610000,2.0,1.0,50.0,       5,       4,80.0,     218,     181,83.0
Lunenburg,01620000,1.0,1.0,100.0,       5,       3,60.0,     123,     106,86.2
Lynn,01630000,1.0,0.0,0.0,      27,      23,85.2,"   1,284","   1,039",80.9
Lynnfield,01640000,1.0,1.0,100.0,       4,       3,75.0,     179,     157,87.7
Ma Academy for Math and Science,04680000,1.0,1.0,100.0,       1,       1,100.0,       6,       6,100.0
Malden,01650000,1.0,1.0,100.0,       7,       5,71.4,     475,     397,83.6
Manchester Essex Regional,06980000,1.0,1.0,100.0,       4,       3,75.0,     126,     117,92.9
Mansfield,01670000,1.0,1.0,100.0,       4,       3,75.0,     306,     286,93.5
Map Academy Charter School (District),35170000,2.0,2.0,100.0,       2,       2,100.0,      24,      19,79.2
Marblehead,01680000,1.0,0.0,0.0,       5,       4,80.0,     252,     221,87.7
Marblehead Community Charter Public (District),04640000,1.0,0.0,0.0,       1,       0,0.0,      22,      12,54.5
Marion,01690000,1.0,1.0,100.0,       1,       1,100.0,      34,      33,97.1
Marlborough,01700000,1.0,1.0,100.0,       8,       5,62.5,     415,     362,87.2
Marshfield,01710000,1.0,1.0,100.0,       7,       5,71.4,     336,     299,89.0
Martha's Vineyard,07000000,1.0,0.0,0.0,       1,       1,100.0,      87,      75,86.2
Martha's Vineyard Charter Public School (District),04660000,1.0,1.0,100.0,       1,       1,100.0,      24,      20,83.3
"Martin Luther King, Jr. Charter School of Excellence (District)",04920000,1.0,1.0,100.0,       1,       0,0.0,      37,      13,35.1
Masconomet,07050000,1.0,1.0,100.0,       2,       1,50.0,     141,     126,89.4
Mashpee,01720000,1.0,1.0,100.0,       3,       1,33.3,     138,     117,84.8
Match Charter Public School (District),04690000,1.0,1.0,100.0,       2,       0,0.0,     126,      77,61.1
Mattapoisett,01730000,1.0,1.0,100.0,       2,       2,100.0,      39,      38,97.4
Maynard,01740000,1.0,1.0,100.0,       3,       2,66.7,     122,     110,90.2
Medfield,01750000,1.0,1.0,100.0,       5,       5,100.0,     226,     208,92.0
Medford,01760000,1.0,1.0,100.0,       8,       6,75.0,     412,     356,86.4
Medway,01770000,1.0,1.0,100.0,       4,       4,100.0,     161,     141,87.6
Melrose,01780000,1.0,0.0,0.0,       8,       7,87.5,     277,     254,91.7
Mendon-Upton,07100000,1.0,1.0,100.0,       5,       4,80.0,     166,     150,90.4
Methuen,01810000,1.0,1.0,100.0,       5,       5,100.0,     539,     470,87.2
Middleborough,01820000,1.0,1.0,100.0,       6,       3,50.0,     221,     197,89.1
Middleton,01840000,1.0,1.0,100.0,       2,       2,100.0,      72,      64,88.9
Milford,01850000,1.0,1.0,100.0,       6,       6,100.0,     386,     349,90.4
Millbury,01860000,1.0,1.0,100.0,       3,       3,100.0,     135,     124,91.9
Millis,01870000,1.0,1.0,100.0,       4,       3,75.0,     110,     103,93.6
Milton,01890000,1.0,0.0,0.0,       6,       5,83.3,     342,     299,87.4
Minuteman Regional Vocational Technical,08300000,1.0,0.0,0.0,       1,       0,0.0,      82,      71,86.6
Mohawk Trail,07170000,1.0,1.0,100.0,       4,       4,100.0,      78,      61,78.2
Monomoy Regional School District,07120000,1.0,1.0,100.0,       4,       3,75.0,     175,     150,85.7
Monson,01910000,1.0,1.0,100.0,       2,       1,50.0,      88,      67,76.1
Montachusett Regional Vocational Technical,08320000,1.0,1.0,100.0,       1,       1,100.0,     121,     114,94.2
Mount Greylock,07150000,1.0,1.0,100.0,       3,       3,100.0,     118,     105,89.0
Mystic Valley Regional Charter (District),04700000,1.0,1.0,100.0,       1,       0,0.0,     100,      68,68.0
Nahant,01960000,1.0,1.0,100.0,       1,       1,100.0,      14,      11,78.6
Nantucket,01970000,1.0,1.0,100.0,       4,       3,75.0,     165,     131,79.4
Narragansett,07200000,1.0,1.0,100.0,       3,       3,100.0,     103,      88,85.4
Nashoba,07250000,1.0,1.0,100.0,       5,       4,80.0,     269,     230,85.5
Nashoba Valley Regional Vocational Technical,08520000,1.0,1.0,100.0,       1,       1,100.0,      66,      49,74.2
Natick,01980000,1.0,0.0,0.0,       9,       7,77.8,     476,     431,90.5
Nauset,06600000,1.0,1.0,100.0,       2,       1,50.0,     141,     118,83.7
Needham,01990000,1.0,1.0,100.0,       8,       8,100.0,     468,     425,90.8
Neighborhood House Charter (District),04440000,1.0,1.0,100.0,       3,       2,66.7,      78,      48,61.5
New Bedford,02010000,1.0,0.0,0.0,      26,      24,92.3,"   1,128",     899,79.7
New Heights Charter School of Brockton (District),35130000,1.0,1.0,100.0,       1,       0,0.0,      56,      35,62.5
New Salem-Wendell,07280000,1.0,1.0,100.0,       1,       1,100.0,      16,      16,100.0
Newburyport,02040000,1.0,1.0,100.0,       4,       4,100.0,     221,     199,90.0
Newton,02070000,1.0,0.0,0.0,      23,      23,100.0,"   1,149","   1,006",87.6
Norfolk,02080000,1.0,1.0,100.0,       2,       1,50.0,      89,      85,95.5
Norfolk County Agricultural,09150000,1.0,1.0,100.0,       1,       1,100.0,      57,      52,91.2
North Adams,02090000,1.0,1.0,100.0,       4,       4,100.0,     129,     108,83.7
North Andover,02110000,1.0,1.0,100.0,       8,       8,100.0,     351,     325,92.6
North Attleborough,02120000,1.0,1.0,100.0,       8,       6,75.0,     296,     260,87.8
North Brookfield,02150000,1.0,1.0,100.0,       2,       1,50.0,      42,      35,83.3
North Middlesex,07350000,1.0,1.0,100.0,       7,       4,57.1,     255,     214,83.9
North Reading,02170000,1.0,1.0,100.0,       5,       5,100.0,     220,     206,93.6
Northampton,02100000,1.0,0.0,0.0,       6,       5,83.3,     239,     212,88.7
Northampton-Smith Vocational Agricultural,04060000,1.0,1.0,100.0,       1,       1,100.0,      61,      56,91.8
Northboro-Southboro,07300000,1.0,1.0,100.0,       1,       1,100.0,     116,     109,94.0
Northborough,02130000,1.0,1.0,100.0,       5,       4,80.0,     145,     128,88.3
Northbridge,02140000,1.0,1.0,100.0,       4,       2,50.0,     163,     126,77.3
Northeast Metropolitan Regional Vocational Technical,08530000,1.0,1.0,100.0,       1,       1,100.0,     130,     111,85.4
Northern Berkshire Regional Vocational Technical,08510000,1.0,1.0,100.0,       1,       1,100.0,      48,      47,97.9
Norton,02180000,1.0,0.0,0.0,       5,       5,100.0,     209,     189,90.4
Norwell,02190000,1.0,1.0,100.0,       4,       4,100.0,     170,     156,91.8
Norwood,02200000,1.0,1.0,100.0,       8,       8,100.0,     326,     297,91.1
Oak Bluffs,02210000,1.0,1.0,100.0,       1,       1,100.0,      59,      56,94.9
Old Colony Regional Vocational Technical,08550000,1.0,1.0,100.0,       1,       1,100.0,      61,      53,86.9
Old Rochester,07400000,1.0,1.0,100.0,       2,       2,100.0,      91,      86,94.5
Old Sturbridge Academy Charter Public School (District),35150000,1.0,1.0,100.0,       1,       1,100.0,      28,      13,46.4
Orange,02230000,1.0,1.0,100.0,       1,       1,100.0,      37,      28,75.7
Orleans,02240000,1.0,1.0,100.0,       1,       1,100.0,      24,      23,95.8
Oxford,02260000,1.0,1.0,100.0,       4,       3,75.0,     140,     113,80.7
Palmer,02270000,1.0,0.0,0.0,       2,       1,50.0,     114,      90,78.9
Pathfinder Regional Vocational Technical,08600000,1.0,1.0,100.0,       1,       0,0.0,      70,      61,87.1
Peabody,02290000,1.0,1.0,100.0,      11,      11,100.0,     462,     427,92.4
Pelham,02300000,1.0,0.0,0.0,       1,       1,100.0,      15,      14,93.3
Pembroke,02310000,1.0,1.0,100.0,       5,       4,80.0,     197,     179,90.9
Pentucket,07450000,1.0,1.0,100.0,       5,       3,60.0,     195,     175,89.7
Petersham,02340000,1.0,1.0,100.0,       1,       1,100.0,      13,       9,69.2
"Phoenix Academy Charter Public High School, Chelsea (District)",04930000,1.0,1.0,100.0,       1,       1,100.0,      14,      12,85.7
"Phoenix Academy Public Charter High School, Lawrence (District)",35180000,1.0,1.0,100.0,       1,       0,0.0,      12,       7,58.3
"Phoenix Academy Public Charter High School, Springfield (District)",35080000,1.0,1.0,100.0,       1,       1,100.0,      14,      11,78.6
Pioneer Charter School of Science (District),04940000,1.0,1.0,100.0,       2,       2,100.0,      76,      56,73.7
Pioneer Charter School of Science II (District),35060000,1.0,1.0,100.0,       1,       0,0.0,      42,      35,83.3
Pioneer Valley,07500000,1.0,1.0,100.0,       3,       1,33.3,      63,      45,71.4
Pioneer Valley Chinese Immersion Charter (District),04970000,1.0,1.0,100.0,       1,       1,100.0,      66,      51,77.3
Pioneer Valley Performing Arts Charter Public (District),04790000,1.0,1.0,100.0,       1,       1,100.0,      46,      35,76.1
Pittsfield,02360000,1.0,1.0,100.0,      16,      11,68.8,     531,     434,81.7
Plainville,02380000,1.0,1.0,100.0,       2,       1,50.0,      51,      46,90.2
Plymouth,02390000,1.0,1.0,100.0,      13,      13,100.0,     660,     590,89.4
Plympton,02400000,1.0,1.0,100.0,       1,       1,100.0,      23,      20,87.0
Prospect Hill Academy Charter (District),04870000,1.0,1.0,100.0,       4,       2,50.0,     110,      71,64.5
Provincetown,02420000,1.0,1.0,100.0,       1,       1,100.0,      25,      19,76.0
Quabbin,07530000,1.0,0.0,0.0,       5,       5,100.0,     153,     135,88.2
Quaboag Regional,07780000,1.0,0.0,0.0,       3,       2,66.7,      92,      79,85.9
Quincy,02430000,1.0,1.0,100.0,      20,      19,95.0,     754,     682,90.5
Ralph C Mahar,07550000,1.0,1.0,100.0,       1,       1,100.0,      61,      47,77.0
Randolph,02440000,1.0,1.0,100.0,       6,       2,33.3,     261,     194,74.3
Reading,02460000,1.0,1.0,100.0,       9,       6,66.7,     336,     288,85.7
Revere,02480000,1.0,1.0,100.0,      12,       9,75.0,     617,     518,84.0
