2020 Staffing Retention Rates,,,,,,,,,,
District Name,District Code,Superintendent Total,Superintendent # Retained,Superintendent % Retained,Principal Total,Principal # Retained,Principal % Retained,Teacher Total,Teacher # Retained,Teacher % Retained
Mendon-Upton,07100000,1,1,100.0,       5,       5,100.0,     165,     142,86.1
Methuen,01810000,1,1,100.0,       6,       4,66.7,     489,     421,86.1
Middleborough,01820000,1,1,100.0,       5,       5,100.0,     217,     196,90.3
Middleton,01840000,1,1,100.0,       2,       1,50.0,      70,      61,87.1
Milford,01850000,1,1,100.0,       6,       5,83.3,     342,     313,91.5
Millbury,01860000,1,1,100.0,       3,       1,33.3,     133,     120,90.2
Millis,01870000,1,1,100.0,       3,       2,66.7,     103,      92,89.3
Milton,01890000,1,1,100.0,       6,       5,83.3,     324,     290,89.5
Minuteman Regional Vocational Technical,08300000,1,1,100.0,       1,       0,0.0,      78,      70,89.7
Mohawk Trail,07170000,1,1,100.0,       5,       4,80.0,      89,      68,76.4
Monomoy Regional School District,07120000,1,1,100.0,       4,       4,100.0,     182,     156,85.7
Monson,01910000,1,1,100.0,       3,       1,33.3,      83,      70,84.3
Montachusett Regional Vocational Technical,08320000,1,1,100.0,       1,       1,100.0,     114,     106,93.0
Mount Greylock,07150000,1,1,100.0,       3,       2,66.7,     109,      92,84.4
Mystic Valley Regional Charter (District),04700000,1,1,100.0,       1,       1,100.0,     103,      68,66.0
Nahant,01960000,1,1,100.0,       1,       1,100.0,      14,      11,78.6
Nantucket,01970000,1,1,100.0,       4,       3,75.0,     154,     131,85.1
Narragansett,07200000,1,1,100.0,       4,       4,100.0,     104,      90,86.5
Nashoba,07250000,1,1,100.0,       6,       6,100.0,     272,     247,90.8
Nashoba Valley Regional Vocational Technical,08520000,1,1,100.0,       1,       0,0.0,      67,      57,85.1
Natick,01980000,1,1,100.0,       9,       7,77.8,     447,     402,89.9
Nauset,06600000,1,1,100.0,       2,       1,50.0,     152,     142,93.4
Needham,01990000,1,1,100.0,       8,       8,100.0,     442,     400,90.5
Neighborhood House Charter (District),04440000,1,1,100.0,       4,       3,75.0,      71,      36,50.7
New Bedford,02010000,1,1,100.0,      25,      23,92.0,     941,     799,84.9
New Heights Charter School of Brockton (District),35130000,1,1,100.0,       2,       0,0.0,      36,      17,47.2
New Salem-Wendell,07280000,1,1,100.0,       1,       1,100.0,      15,      15,100.0
Newburyport,02040000,1,1,100.0,       5,       5,100.0,     195,     188,96.4
Newton,02070000,1,1,100.0,      22,      21,95.5,"   1,143","   1,051",92.0
Norfolk,02080000,1,1,100.0,       2,       2,100.0,      79,      74,93.7
Norfolk County Agricultural,09150000,1,1,100.0,       1,       0,0.0,      57,      54,94.7
North Adams,02090000,1,1,100.0,       4,       4,100.0,     126,     104,82.5
North Andover,02110000,1,1,100.0,       8,       6,75.0,     321,     284,88.5
North Attleborough,02120000,1,1,100.0,       8,       7,87.5,     290,     248,85.5
North Brookfield,02150000,1,1,100.0,       2,       0,0.0,      47,      38,80.9
North Middlesex,07350000,1,1,100.0,       6,       3,50.0,     250,     225,90.0
North Reading,02170000,1,1,100.0,       5,       5,100.0,     212,     192,90.6
Northampton,02100000,1,1,100.0,       6,       4,66.7,     240,     210,87.5
Northampton-Smith Vocational Agricultural,04060000,1,1,100.0,       1,       1,100.0,      57,      50,87.7
Northboro-Southboro,07300000,1,0,0.0,       1,       1,100.0,     118,     108,91.5
Northborough,02130000,1,0,0.0,       5,       5,100.0,     129,     121,93.8
Northbridge,02140000,1,0,0.0,       4,       3,75.0,     169,     150,88.8
Northeast Metropolitan Regional Vocational Technical,08530000,1,1,100.0,       1,       1,100.0,     119,     105,88.2
Northern Berkshire Regional Vocational Technical,08510000,1,1,100.0,       1,       1,100.0,      41,      39,95.1
Norton,02180000,1,1,100.0,       5,       4,80.0,     194,     177,91.2
Norwell,02190000,1,1,100.0,       4,       3,75.0,     169,     162,95.9
Norwood,02200000,1,1,100.0,       8,       7,87.5,     285,     268,94.0
Oak Bluffs,02210000,1,1,100.0,       1,       1,100.0,      57,      51,89.5
Old Colony Regional Vocational Technical,08550000,1,1,100.0,       1,       1,100.0,      57,      51,89.5
Old Rochester,07400000,1,1,100.0,       2,       1,50.0,      91,      86,94.5
Old Sturbridge Academy Charter Public School (District),35150000,1,1,100.0,       1,       1,100.0,      15,      12,80.0
Orange,02230000,1,1,100.0,       2,       1,50.0,      42,      37,88.1
Orleans,02240000,1,1,100.0,       1,       1,100.0,      28,      21,75.0
