2019-20 Teacher Data - All Teachers,,,,,,,
District Name,District Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License,Percent Teaching In-Field
Lexington,01550000,     616.2,  99.8,  11.7 to 1,  85.8,  94.7,  96.1
Libertas Academy Charter School (District),35140000,      25.0,  52.7,  10.7 to 1,   6.2,  73.5,  46.7
Lincoln,01570000,     120.5,  98.7,   9.2 to 1,  85.7,  98.4,  93.2
Lincoln-Sudbury,06950000,     129.2,  99.8,  11.7 to 1,  96.7,  95.2,  92.6
Littleton,01580000,     121.2, 100.0,  13.7 to 1,  81.2,  92.6,  96.9
Longmeadow,01590000,     243.8, 100.0,  11.7 to 1,  92.0,  98.4,  96.9
Lowell,01600000,"   1,079.7",  97.5,  13.4 to 1,  85.7,  91.5,  86.8
Lowell Community Charter Public (District),04560000,      66.5, 100.0,  12.4 to 1,  57.9,  88.0,  98.5
Lowell Middlesex Academy Charter (District),04580000,       8.0,  87.5,  10.6 to 1, 100.0,  50.0,  27.3
Ludlow,01610000,     231.2,  99.6,  11.0 to 1,  93.5,  96.1,  95.8
Lunenburg,01620000,     107.4, 100.0,  15.3 to 1,  91.8,  99.1,  89.7
Lynn,01630000,"   1,172.9",  95.6,  13.7 to 1,  79.3,  89.4,  95.3
Lynnfield,01640000,     162.6,  99.4,  13.5 to 1,  88.2,  99.2,  97.7
MATCH Charter Public School (District),04690000,     113.9,  75.0,  10.7 to 1,  42.9,  87.2,  48.1
Ma Academy for Math and Science,04680000,       6.0, 100.0,  16.5 to 1,  83.3,  83.3,  83.3
Malden,01650000,     473.0,  99.8,  13.7 to 1,  80.2,  93.8,  96.9
Manchester Essex Regional,06980000,     131.5,  98.5,  10.4 to 1,  87.4,  96.5,  91.2
Mansfield,01670000,     300.9, 100.0,  12.1 to 1,  89.1,  98.2,  98.7
Map Academy Charter School (District),35170000,       9.5,  63.2,  16.9 to 1,  21.1,  68.4,  46.2
Marblehead,01680000,     257.2, 100.0,  11.5 to 1,  87.2,  94.7,  92.9
Marblehead Community Charter Public (District),04640000,      22.1,  81.9,   9.3 to 1,  61.5,  77.4,  65.2
Marion,01690000,      32.5, 100.0,  13.3 to 1,  98.5,  97.5, 100.0
Marlborough,01700000,     387.6,  99.7,  12.3 to 1,  86.3,  97.4,  98.7
Marshfield,01710000,     324.6, 100.0,  12.2 to 1,  91.5,  96.0,  98.0
Martha's Vineyard,07000000,      75.1,  98.7,   8.9 to 1,  87.3,  85.3,  88.4
Martha's Vineyard Charter (District),04660000,      16.5,  95.5,  10.4 to 1,  88.5,  82.4,  73.7
Martin Luther King Jr. Charter School of Excellence (District),04920000,      34.6,  88.4,  10.4 to 1,  74.0,  82.7,  61.5
Masconomet,07050000,     132.4,  99.2,  13.0 to 1,  94.0,  96.0,  94.3
Mashpee,01720000,     139.6,  99.3,  11.2 to 1,  89.0,  91.4,  90.5
Mattapoisett,01730000,      37.1, 100.0,  11.9 to 1,  95.1,  99.2, 100.0
Maynard,01740000,     111.8,  95.5,  11.3 to 1,  87.8,  96.2,  84.8
Medfield,01750000,     195.6,  99.0,  13.3 to 1,  87.9,  95.7,  93.3
Medford,01760000,     397.2,  98.8,  10.6 to 1,  80.5,  93.7,  91.8
Medway,01770000,     160.4, 100.0,  13.6 to 1,  89.7,  97.5,  97.6
Melrose,01780000,     273.9, 100.0,  14.5 to 1,  79.9,  95.6,  96.8
Mendon-Upton,07100000,     156.4,  97.8,  14.4 to 1,  87.0,  94.9,  90.3
Methuen,01810000,     497.8,  98.1,  13.8 to 1,  83.8,  92.8,  89.3
Middleborough,01820000,     217.9,  99.5,  13.7 to 1,  85.3,  98.2,  97.3
Middleton,01840000,      65.1,  99.8,  11.0 to 1,  80.5, 100.0,  94.1
Milford,01850000,     337.6,  98.8,  13.1 to 1,  86.1,  94.3,  96.0
Millbury,01860000,     131.7, 100.0,  12.9 to 1,  86.4,  93.2,  93.4
Millis,01870000,      93.7,  99.7,  12.6 to 1,  95.4,  98.9,  91.1
Milton,01890000,     310.4,  99.7,  14.3 to 1,  83.4,  92.1,  92.4
Minuteman Regional Vocational Technical,08300000,      71.5,  97.2,   8.4 to 1,  94.3,  90.2,  89.9
Mohawk Trail,07170000,      78.6, 100.0,  10.7 to 1,  80.1,  94.1,  91.8
Monomoy Regional School District,07120000,     169.0,  98.5,  11.1 to 1,  88.7,  91.9,  94.6
Monson,01910000,      81.0, 100.0,  11.4 to 1,  86.7,  90.7,  86.2
Montachusett Regional Vocational Technical,08320000,     113.0,  98.2,  12.7 to 1,  87.2,  84.1,  93.0
Mount Greylock,07150000,     105.8,  98.1,  11.0 to 1,  80.3,  88.8,  94.7
Mystic Valley Regional Charter (District),04700000,     105.5,  56.2,  15.2 to 1,  33.7,  82.0,  38.9
Nahant,01960000,       9.6,  94.1,  16.0 to 1,  70.9, 100.0,  85.7
Nantucket,01970000,     146.8,  95.1,  11.4 to 1,  77.7,  90.0,  93.0
Narragansett,07200000,     100.4, 100.0,  14.6 to 1,  87.8,  88.0,  93.3
Nashoba,07250000,     264.6,  99.2,  12.0 to 1,  87.9,  96.5,  95.8
Nashoba Valley Regional Vocational Technical,08520000,      65.0, 100.0,  10.9 to 1,  89.2,  76.9,  97.0
Natick,01980000,     431.2,  99.2,  12.8 to 1,  80.9,  94.4,  93.7
Nauset,06600000,     136.4,  99.3,  10.9 to 1,  88.5,  93.4,  91.4
Needham,01990000,     423.4,  99.8,  13.5 to 1,  87.1,  96.3,  94.5
Neighborhood House Charter (District),04440000,      66.4,  59.9,  10.6 to 1,  28.5,  83.8,  46.5
New Bedford,02010000,     958.3,  94.9,  13.4 to 1,  74.0,  85.4,  88.7
New Heights Charter School of Brockton (District),35130000,      41.8,  77.0,  14.4 to 1,  43.5,  78.5,  69.6
New Salem-Wendell,07280000,      13.7, 100.0,  10.6 to 1,  78.8,  81.8, 100.0
Newburyport,02040000,     195.3,  99.7,  11.6 to 1,  92.0,  96.0,  97.0
Newton,02070000,"   1,086.9",  98.7,  11.8 to 1,  85.1,  96.4,  95.6
Norfolk,02080000,      79.0, 100.0,  12.4 to 1,  87.7,  98.7, 100.0
Norfolk County Agricultural,09150000,      56.1,  98.2,   9.8 to 1,  89.1,  93.4,  91.2
North Adams,02090000,     129.3,  93.8,  10.5 to 1,  75.8,  89.9,  83.9
North Andover,02110000,     315.9,  99.2,  14.8 to 1,  88.3,  96.4,  91.8
North Attleborough,02120000,     285.3,  99.6,  14.6 to 1,  84.8,  93.9,  97.4
North Brookfield,02150000,      45.8, 100.0,  11.9 to 1,  79.3,  97.8,  93.2
