2012-13 Teacher Data - All Teachers,,,,,,
District Name,District Code,Total # of Teachers,% of Teachers Licensed in Teaching Assignment,Total # of Classes in Core Academic Areas,% of Core Academic Classes Taught by Teachers Who are Highly Qualified,Student / Teacher Ratio
Lexington,01550000,     535.8,  99.6,"   2,261",  99.8,  12.1 to 1
Lincoln,01570000,     121.6,  98.4,     633,  97.5,  10.2 to 1
Lincoln-Sudbury,06950000,     119.1, 100.0,     809, 100.0,  13.3 to 1
Littleton,01580000,      84.2,  99.1,     480,  99.2,  18.7 to 1
Longmeadow,01590000,     232.2, 100.0,"   1,000",  98.8,  12.4 to 1
Lowell,01600000,     984.2,  99.5,"   6,807",  99.1,  14.1 to 1
Lowell Community Charter Public (District),04560000,      47.5,  93.7,     200,  97.5,  13.5 to 1
Lowell Middlesex Academy Charter (District),04580000,      13.0,  39.3,      85, 100.0,   8.5 to 1
Ludlow,01610000,     215.7,  99.9,"   1,106",  97.0,  13.3 to 1
Lunenburg,01620000,     103.0, 100.0,     535, 100.0,  15.4 to 1
Lynn,01630000,     982.9,  96.4,"   4,527",  94.2,  14.4 to 1
Lynnfield,01640000,     162.7,  98.8,     745, 100.0,  13.9 to 1
MATCH Charter Public School (District),04690000,      30.2,  47.4,      94,  86.2,  15.8 to 1
MATCH Community Day Charter Public School (District),04650000,      12.5,  40.0,      40,  90.0,  15.9 to 1
Ma Academy for Math and Science,04680000,       6.9, 100.0,      18, 100.0,  13.7 to 1
Malden,01650000,     434.1,  99.1,"   2,126",  99.6,  15.1 to 1
Manchester Essex Regional,06980000,     120.8, 100.0,     545,  97.6,  12.9 to 1
Mansfield,01670000,     306.6, 100.0,"   1,528",  99.5,  14.7 to 1
Marblehead,01680000,     230.7, 100.0,"   1,097",  97.6,  14.1 to 1
Marblehead Community Charter Public (District),04640000,      19.6,  88.7,      71,  97.2,  11.8 to 1
Marion,01690000,      35.0, 100.0,     133, 100.0,  13.2 to 1
Marlborough,01700000,     343.3, 100.0,"   1,533",  99.3,  13.4 to 1
Marshfield,01710000,     325.8, 100.0,"   1,326", 100.0,  13.8 to 1
Martha's Vineyard Charter (District),04660000,      18.0,  79.9,      58, 100.0,  10.1 to 1
Marthas Vineyard,07000000,      74.7,  97.4,     369,  93.0,   9.2 to 1
Martin Luther King Jr. Charter School of Excellence (District),04920000,      39.9,  62.3,     108,  73.1,   9.3 to 1
Masconomet,07050000,     128.5, 100.0,     704, 100.0,  16.0 to 1
Mashpee,01720000,     130.6,  98.5,     716, 100.0,  13.2 to 1
Mattapoisett,01730000,      39.3, 100.0,     194, 100.0,  12.8 to 1
Maynard,01740000,     105.3,  99.8,     555, 100.0,  12.8 to 1
Medfield,01750000,     192.9,  99.6,"   1,086", 100.0,  14.5 to 1
Medford,01760000,     383.6,  98.8,"   1,833", 100.0,  12.2 to 1
Medway,01770000,     150.1, 100.0,     808,  98.9,  16.5 to 1
Melrose,01780000,     264.7,  99.2,"   1,183",  97.2,  13.9 to 1
Mendon-Upton,07100000,     156.8,  97.4,     944,  99.2,  16.2 to 1
Methuen,01810000,     464.1,  99.6,"   2,100",  99.5,  15.2 to 1
Middleborough,01820000,     222.7,  99.5,"   1,128",  99.4,  14.8 to 1
Middleton,01840000,      64.3, 100.0,     284, 100.0,  12.6 to 1
Milford,01850000,     313.2,  99.3,"   1,439",  99.5,  13.3 to 1
Millbury,01860000,     127.9, 100.0,     608,  97.7,  14.1 to 1
Millis,01870000,      89.7,  99.9,     448,  97.1,  16.2 to 1
Milton,01890000,     274.3,  99.3,"   1,389",  99.6,  14.3 to 1
Minuteman Regional Vocational Technical,08300000,      70.2,  94.6,     255, 100.0,   9.3 to 1
Mohawk Trail,07170000,      82.5,  95.9,     457,  99.3,  12.2 to 1
Monomoy Regional School District,07120000,     184.0,  98.4,     974,  96.8,  10.2 to 1
Monson,01910000,      92.5,  96.8,     360,  98.1,  13.6 to 1
Montachusett Regional Vocational Technical,08320000,     106.0,  98.1,     307,  98.0,  13.5 to 1
Mount Greylock,07150000,      50.3,  98.8,     252,  98.4,  11.2 to 1
Mystic Valley Regional Charter (District),04700000,     102.4,  67.3,     578,  87.5,  14.6 to 1
