District Name,District Code,Locale,Teacher % Retained,Year,Retention Category,Total Expenditures per Pupil,Adjusted Total Expenditures per Pupil,Adjusted Expenditures Category,Average Salary,Adjusted Average Salary,Adjusted Salary Category,Average Class Size,Class Size Category
north adams,2090000,Rural,85.4,2011,low,15101.72,14858.048012593500,medium,66657.0,65581.4639905549,medium,23.9,large
north andover,2110000,Suburban,92.2,2011,high,11503.35,11317.739079102700,low,65381.0,64326.05273514370,medium,22.0,large
north attleborough,2120000,Suburban,88.3,2011,medium,10343.46,10176.564344746200,low,66698.0,65621.80243998430,medium,19.1,large
north brookfield,2150000,Rural,87.0,2011,medium,11964.01,11770.966155057100,low,61514.0,60521.448248721000,low,16.3,small
north middlesex,7350000,Rural,86.5,2011,medium,11335.26,11152.361275088500,low,66462.0,65389.61038961040,medium,20.2,large
north reading,2170000,Suburban,95.0,2011,high,11941.21,11748.534041715900,low,65121.0,64070.2479338843,medium,22.1,large
northampton,2100000,Urban,90.2,2011,medium,12596.33,12393.083431719800,low,57173.0,56250.49193231010,low,16.9,medium
northampton-smith vocational agricultural,4060000,Urban,87.2,2011,medium,18980.71,18674.44903581270,high,58970.0,58018.49665486030,low,12.3,small
northboro-southboro,7300000,Suburban,94.4,2011,high,13865.02,13641.302636757200,low,86330.0,84937.0326643054,high,18.4,medium
northborough,2130000,Suburban,93.1,2011,high,12323.6,12124.754033844900,low,75430.0,74212.9083038174,high,18.4,medium
northbridge,2140000,Suburban,92.1,2011,high,11078.34,10899.586776859500,low,63123.0,62104.48642266820,low,19.6,large
northeast metropolitan regional vocational technical,8530000,Suburban,90.1,2011,medium,18135.26,17842.640692640700,high,76849.0,75609.01219992130,high,21.1,large
northern berkshire regional vocational technical,8510000,Rural,91.5,2011,high,19019.84,18712.947658402200,high,67388.0,66300.66902794180,medium,14.2,small
norton,2180000,Suburban,92.1,2011,high,11697.81,11509.061393152300,low,69812.0,68685.55686737510,medium,20.4,large
norwell,2190000,Rural,90.2,2011,medium,11524.42,11338.469106650900,low,72499.0,71329.20110192840,high,21.2,large
oak bluffs,2210000,Suburban,92.3,2011,high,18851.85,18547.668240850100,high,78222.0,76959.85832349470,high,24.8,large
old colony regional vocational technical,8550000,Rural,90.9,2011,high,17874.65,17586.235733963000,high,73547.0,72360.29122392760,high,14.5,small
old rochester,7400000,Rural,90.7,2011,high,14345.06,14113.597009051600,medium,71701.0,70544.07713498620,high,19.4,large
orange,2230000,Rural,73.1,2011,low,11559.02,11372.510822510800,low,55663.0,54764.85635576550,low,17.0,medium
orleans,2240000,Suburban,78.6,2011,low,23446.19,23067.876820149500,high,63144.0,62125.14757969300,low,13.4,small
oxford,2260000,Suburban,87.4,2011,medium,11636.25,11448.494687131100,low,60330.0,59356.55253837070,low,18.9,medium
palmer,2270000,Suburban,86.8,2011,medium,12699.29,12494.382133018500,low,58531.0,57586.580086580100,low,16.9,medium
pathfinder regional vocational technical,8600000,Suburban,87.2,2011,medium,20728.92,20394.45100354190,high,60050.0,59081.07044470680,low,11.6,small
peabody,2290000,Suburban,92.3,2011,high,12728.58,12523.199527745000,low,73091.0,71911.6489571035,high,19.4,large
pelham,2300000,Suburban,66.7,2011,low,14925.8,14684.966548602900,medium,62515.0,61506.29673356950,low,16.8,medium
pembroke,2310000,Suburban,87.7,2011,medium,10374.9,10207.49704840610,low,65965.0,64900.62967335700,medium,25.7,large
pentucket,7450000,Suburban,92.3,2011,high,11188.58,11008.048012593500,low,68692.0,67583.6284927194,medium,19.2,large
petersham,2340000,Rural,81.8,2011,low,13362.7,13147.087760724100,low,44340.0,43624.5572609209,low,16.1,small
pioneer valley,7500000,Rural,90.8,2011,high,13701.66,13480.578512396700,low,57278.0,56353.797717434100,low,16.1,small
pittsfield,2360000,Urban,88.7,2011,medium,12765.04,12559.071231798500,low,58114.0,57176.308539944900,low,19.5,large
plainville,2380000,Suburban,90.7,2011,high,11873.29,11681.709956710000,low,65969.0,64904.56513183790,medium,20.4,large
plymouth,2390000,Suburban,89.6,2011,medium,13116.57,12904.929161747300,low,61507.0,60514.56119637940,low,25.5,large
plympton,2400000,Rural,88.9,2011,medium,11670.77,11482.45769382130,low,72010.0,70848.09130263680,high,16.0,small
provincetown,2420000,Suburban,85.2,2011,low,31294.21,30789.26603699330,high,58968.0,58016.52892561980,low,8.7,small
quabbin,7530000,Rural,87.6,2011,medium,11541.37,11355.145611963800,low,63270.0,62249.114521841800,low,18.7,medium
quaboag regional,7780000,Rural,89.0,2011,medium,11113.12,10933.805588351000,low,69135.0,68019.48051948050,medium,18.8,medium
quincy,2430000,Suburban,94.1,2011,high,13584.15,13364.964580873700,low,72931.0,71754.23061786700,high,20.3,large
ralph c mahar,7550000,Suburban,92.8,2011,high,13531.88,13313.537977174300,low,55131.0,54241.440377804000,low,14.7,small
randolph,2440000,Suburban,86.8,2011,medium,14912.26,14671.645021645000,medium,69040.0,67926.01338055880,medium,22.5,large
